,player_id,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,goals,attacking_score,defensive_score,gk_score,score
383,33316,1,1.0,41.42857142857143,74.92857142857143,62.42857142857143,66.92857142857143,72.21428571428571,69.5,67.14285714285714,47.357142857142854,51.857142857142854,71.64285714285714,75.64285714285714,75.35714285714286,65.64285714285714,75.92857142857143,76.57142857142857,71.14285714285714,70.0,74.14285714285714,64.42857142857143,66.57142857142857,60.92857142857143,44.42857142857143,78.85714285714286,65.92857142857143,74.57142857142857,39.0,33.642857142857146,27.0,13.571428571428571,15.5,25.571428571428573,16.428571428571427,15.357142857142858,5,0.6268759639805784,0.7458015586072797,0.43920236657111406,0.7458015586072797
384,33418,1,0.0,52.714285714285715,82.28571428571429,72.78571428571429,68.92857142857143,78.28571428571429,69.14285714285714,63.92857142857143,62.214285714285715,45.5,74.42857142857143,86.5,87.57142857142857,76.71428571428571,80.35714285714286,80.28571428571429,83.78571428571429,81.14285714285714,73.78571428571429,78.85714285714286,70.28571428571429,69.71428571428571,42.857142857142854,76.78571428571429,64.28571428571429,76.14285714285714,23.357142857142858,23.0,25.0,7.571428571428571,12.214285714285714,28.785714285714285,17.428571428571427,16.857142857142858,58,0.7215473446775147,0.7699326274533634,0.45884844995395446,0.7699326274533634
385,33421,1,1.0,62.76923076923077,63.07692307692308,58.23076923076923,55.46153846153846,58.53846153846154,67.53846153846153,54.30769230769231,41.69230769230769,47.92307692307692,68.46153846153847,85.23076923076923,85.53846153846153,70.15384615384616,63.38461538461539,58.61538461538461,62.76923076923077,61.30769230769231,66.92307692307692,59.46153846153846,51.76923076923077,41.69230769230769,46.84615384615385,63.69230769230769,66.53846153846153,62.07692307692308,22.307692307692307,24.153846153846153,20.46153846153846,8.846153846153847,16.923076923076923,21.692307692307693,15.76923076923077,12.692307692307692,14,0.5897117377922788,0.6656639564178909,0.37067415111267543,0.6656639564178909
386,33468,1,0.0,74.375,69.5625,65.5625,78.875,68.0,82.4375,75.0,65.6875,72.875,80.0,81.625,80.0625,83.4375,77.9375,81.125,77.1875,69.625,78.5,72.4375,74.75,72.625,55.25,75.5625,80.5,72.75,44.25,48.9375,48.0,6.375,15.125,34.5,13.6875,13.125,59,0.729949132638592,0.8487644885155253,0.4407051453373387,0.8487644885155253
387,33620,2,2.0,68.06666666666666,60.4,80.06666666666666,68.73333333333333,63.53333333333333,64.93333333333334,57.53333333333333,56.666666666666664,67.06666666666666,65.86666666666666,65.4,73.26666666666667,60.266666666666666,70.06666666666666,62.266666666666666,78.73333333333333,78.8,91.6,89.0,58.8,87.06666666666666,68.73333333333333,69.26666666666667,72.0,66.0,65.73333333333333,71.26666666666667,70.0,8.0,12.666666666666666,23.733333333333334,11.666666666666666,15.333333333333334,1,0.6051473162989917,0.8758985538068906,0.4003891341764574,0.8758985538068906
388,33632,2,1.0,77.73333333333333,76.2,64.53333333333333,78.53333333333333,76.46666666666667,79.53333333333333,73.0,64.93333333333334,71.26666666666667,80.33333333333333,77.86666666666666,78.33333333333333,76.26666666666667,77.46666666666667,71.06666666666666,83.26666666666667,66.0,66.2,69.6,80.4,70.6,59.4,78.6,79.0,69.0,33.0,40.333333333333336,41.333333333333336,12.0,13.733333333333333,35.53333333333333,12.333333333333334,12.466666666666667,33,0.7100122358605245,0.8175882603147598,0.4286234556682809,0.8175882603147598
389,33633,1,0.0,83.33333333333333,68.66666666666667,43.666666666666664,77.08333333333333,73.5,76.66666666666667,77.16666666666667,79.25,74.91666666666667,76.58333333333333,76.5,78.25,70.16666666666667,72.41666666666667,71.83333333333333,88.0,50.0,64.08333333333333,63.416666666666664,81.75,55.666666666666664,53.666666666666664,70.75,80.5,76.33333333333333,16.0,28.666666666666668,24.0,9.333333333333334,10.833333333333334,36.916666666666664,15.0,15.416666666666666,29,0.6968096225256998,0.7475010633772862,0.4031886196070885,0.7475010633772862
390,33639,2,1.0,70.1875,88.9375,77.75,77.3125,85.125,84.1875,78.5,74.9375,64.125,84.4375,91.25,91.875,86.5625,86.6875,73.5625,85.4375,82.5,77.375,68.5625,76.25,73.0,56.625,87.375,79.4375,86.6875,20.4375,36.5,35.0,7.75,13.625,31.9375,15.5625,14.875,49,0.7911000591155829,0.8453849425776265,0.46284516949786725,0.8453849425776265
391,33692,1,1.0,44.333333333333336,70.6,70.73333333333333,57.86666666666667,63.666666666666664,62.333333333333336,47.0,46.6,32.266666666666666,66.46666666666667,66.2,68.4,68.8,64.26666666666667,73.46666666666667,67.53333333333333,85.86666666666666,72.46666666666667,67.53333333333333,63.06666666666667,70.13333333333334,50.13333333333333,64.4,44.93333333333333,62.46666666666667,22.933333333333334,20.533333333333335,29.6,6.666666666666667,13.466666666666667,19.6,15.266666666666667,13.2,5,0.5738349636718765,0.679934070608252,0.41005904719142755,0.679934070608252
392,33754,1,0.0,60.92307692307692,26.923076923076923,61.0,64.0,30.0,52.53846153846154,35.0,29.384615384615383,47.0,64.92307692307692,82.92307692307692,82.0,65.3076923076923,69.38461538461539,71.61538461538461,48.84615384615385,72.0,78.92307692307692,66.3076923076923,28.076923076923077,65.15384615384616,63.15384615384615,53.38461538461539,59.15384615384615,41.38461538461539,66.0,71.92307692307692,72.6923076923077,10.23076923076923,16.692307692307693,25.307692307692307,12.384615384615385,15.538461538461538,3,0.5000327225030348,0.7817786212086508,0.41631764927432074,0.7817786212086508
